seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
9514,1724558909249518279,-1.864842414855957,0.41541630029678345,0.1416226476430893,0.052267998456954956,0.02045598067343235,-0.20141753554344177,0.977895975112915,0.0,0.0,0.0,0.0,0.0,0.0
9516,1724558909260507012,-1.8646893501281738,0.4152054190635681,0.1409749984741211,0.051179155707359314,0.01941991224884987,-0.2014535665512085,0.977967381477356,0.0,0.0,0.0,0.0,0.0,0.0
9518,1724558909268227250,-1.864672303199768,0.4151214063167572,0.14095725119113922,0.051588527858257294,0.019439995288848877,-0.20133242011070251,0.9779704213142395,0.0,0.0,0.0,0.0,0.0,0.0
9520,1724558909278009723,-1.8646827936172485,0.4151553213596344,0.14114788174629211,0.052372224628925323,0.01989229954779148,-0.20127104222774506,0.9779322743415833,0.0,0.0,0.0,0.0,0.0,0.0
9522,1724558909287229420,-1.8648344278335571,0.41531702876091003,0.14147448539733887,0.052747998386621475,0.02072400040924549,-0.20151615142822266,0.9778443574905396,0.0,0.0,0.0,0.0,0.0,0.0
9524,1724558909319476826,-1.8648337125778198,0.4154213070869446,0.14162370562553406,0.052616141736507416,0.020879656076431274,-0.20157185196876526,0.9778366088867188,0.0,0.0,0.0,0.0,0.0,0.0
9526,1724558909319763084,-1.8647124767303467,0.4151848256587982,0.1411658376455307,0.05188092589378357,0.020046763122081757,-0.2013014703989029,0.9779490232467651,0.0,0.0,0.0,0.0,0.0,0.0
9528,1724558909320026905,-1.8647100925445557,0.4151495695114136,0.14123177528381348,0.05226185545325279,0.020054372027516365,-0.20118184387683868,0.9779532551765442,0.0,0.0,0.0,0.0,0.0,0.0
9530,1724558909328320332,-1.8648117780685425,0.4153234660625458,0.14141125977039337,0.052329178899526596,0.02018364705145359,-0.20135365426540375,0.9779115319252014,0.0,0.0,0.0,0.0,0.0,0.0
9532,1724558909337567538,-1.8648254871368408,0.41538992524147034,0.14124435186386108,0.051751431077718735,0.019453177228569984,-0.20144318044185638,0.9779386520385742,0.0,0.0,0.0,0.0,0.0,0.0
9534,1724558909349059916,-1.8648568391799927,0.4154811203479767,0.14096537232398987,0.051268886774778366,0.019571155309677124,-0.20175017416477203,0.9778984189033508,0.0,0.0,0.0,0.0,0.0,0.0
9536,1724558909358414315,-1.8650084733963013,0.41561973094940186,0.14043362438678741,0.05006391927599907,0.018884344026446342,-0.20172257721424103,0.9779800176620483,0.0,0.0,0.0,0.0,0.0,0.0
9538,1724558909367497904,-1.8652094602584839,0.41574719548225403,0.1398729383945465,0.048978082835674286,0.018357042223215103,-0.2016509622335434,0.9780598282814026,0.0,0.0,0.0,0.0,0.0,0.0
9540,1724558909379832720,-1.86544930934906,0.41597726941108704,0.1395633965730667,0.04828258231282234,0.01839316263794899,-0.201768696308136,0.978069543838501,0.0,0.0,0.0,0.0,0.0,0.0
9542,1724558909387758483,-1.8656617403030396,0.4161446690559387,0.1391202062368393,0.0471075102686882,0.017636768519878387,-0.20157893002033234,0.9781798124313354,0.0,0.0,0.0,0.0,0.0,0.0
9544,1724558909399614384,-1.8659610748291016,0.4163617491722107,0.13934127986431122,0.047235943377017975,0.018148498609662056,-0.20114877820014954,0.9782528281211853,0.0,0.0,0.0,0.0,0.0,0.0
9546,1724558909408145410,-1.8661333322525024,0.4164155423641205,0.1393839418888092,0.04685218632221222,0.018278593197464943,-0.20103582739830017,0.9782920479774475,0.0,0.0,0.0,0.0,0.0,0.0
9548,1724558909418132447,-1.8662663698196411,0.4163510799407959,0.13923369348049164,0.04627177119255066,0.018076928332448006,-0.2008528709411621,0.9783610105514526,0.0,0.0,0.0,0.0,0.0,0.0
9550,1724558909433404792,-1.8663606643676758,0.416368693113327,0.13919773697853088,0.04621302708983421,0.018027104437351227,-0.20073992013931274,0.9783878922462463,0.0,0.0,0.0,0.0,0.0,0.0
9552,1724558909437388233,-1.8663848638534546,0.4162991940975189,0.13879263401031494,0.04504618048667908,0.017429012805223465,-0.2008741945028305,0.9784255623817444,0.0,0.0,0.0,0.0,0.0,0.0
9554,1724558909447273370,-1.8663972616195679,0.41635456681251526,0.13872425258159637,0.04474281892180443,0.01718362793326378,-0.20099864900112152,0.9784182906150818,0.0,0.0,0.0,0.0,0.0,0.0
9556,1724558909457566583,-1.8663898706436157,0.4163767099380493,0.1387685090303421,0.04482034221291542,0.017258014529943466,-0.2009926736354828,0.9784147143363953,0.0,0.0,0.0,0.0,0.0,0.0
9558,1724558909470140999,-1.8663607835769653,0.41631025075912476,0.13847951591014862,0.04407237470149994,0.016816027462482452,-0.20104944705963135,0.9784447550773621,0.0,0.0,0.0,0.0,0.0,0.0
9560,1724558909477943056,-1.8662763833999634,0.4162100553512573,0.13819219172000885,0.04315563663840294,0.015710601583123207,-0.20073875784873962,0.9785677790641785,0.0,0.0,0.0,0.0,0.0,0.0
