seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
16,1724913732845594745,0.022673847153782845,0.06765887141227722,0.1842740923166275,0.0053816079162061214,-0.03834974020719528,-0.1287100613117218,0.9909259676933289,0.0,0.0,0.0,0.0,0.0,0.0
18,1724913732922032890,0.023060468956828117,0.06785716116428375,0.18432150781154633,0.007155034691095352,-0.03936908766627312,-0.12782004475593567,0.9909899234771729,0.0,0.0,0.0,0.0,0.0,0.0
20,1724913732922663007,0.023459438234567642,0.06808043271303177,0.1844521015882492,0.006442745681852102,-0.04049815610051155,-0.12745995819568634,0.9909957051277161,0.0,0.0,0.0,0.0,0.0,0.0
22,1724913732923201412,0.023866955190896988,0.06837961822748184,0.18454110622406006,0.005704901181161404,-0.04030703380703926,-0.12730664014816284,0.9910276532173157,0.0,0.0,0.0,0.0,0.0,0.0
24,1724913732926221293,0.02422928437590599,0.06865789741277695,0.18476003408432007,0.004341901279985905,-0.039988331496715546,-0.12756386399269104,0.9910144209861755,0.0,0.0,0.0,0.0,0.0,0.0
26,1724913732927108521,0.02461620792746544,0.06896069645881653,0.18465304374694824,0.0052362713031470776,-0.04006040096282959,-0.1265067607164383,0.991142749786377,0.0,0.0,0.0,0.0,0.0,0.0
28,1724913732927832050,0.025033308193087578,0.06902140378952026,0.18480394780635834,0.006881621200591326,-0.04181220382452011,-0.12607555091381073,0.9911152124404907,0.0,0.0,0.0,0.0,0.0,0.0
30,1724913732928466501,0.02544758841395378,0.06918074190616608,0.1846694052219391,0.006581611465662718,-0.04081357270479202,-0.1251247674226761,0.9912793636322021,0.0,0.0,0.0,0.0,0.0,0.0
32,1724913732929094912,0.025934526696801186,0.06933890283107758,0.18469536304473877,0.006934066768735647,-0.04067949578166008,-0.12437319755554199,0.9913771152496338,0.0,0.0,0.0,0.0,0.0,0.0
34,1724913732939235403,0.026312822476029396,0.0694257840514183,0.18466991186141968,0.00769965210929513,-0.04096983000636101,-0.12358491122722626,0.991457998752594,0.0,0.0,0.0,0.0,0.0,0.0
36,1724913732946715822,0.026818618178367615,0.06959451735019684,0.184735968708992,0.010222509503364563,-0.04212094098329544,-0.12206097692251205,0.9915757179260254,0.0,0.0,0.0,0.0,0.0,0.0
38,1724913732956126186,0.027293289080262184,0.06972747296094894,0.1848241686820984,0.011818788014352322,-0.04233713075518608,-0.12152066081762314,0.9916151762008667,0.0,0.0,0.0,0.0,0.0,0.0
40,1724913732968279528,0.027673451229929924,0.0696932002902031,0.18500633537769318,0.01114667672663927,-0.043563805520534515,-0.12103782594203949,0.9916288256645203,0.0,0.0,0.0,0.0,0.0,0.0
42,1724913732976309451,0.028046824038028717,0.06981075555086136,0.18522828817367554,0.008500505238771439,-0.04412451013922691,-0.12068437039852142,0.9916734099388123,0.0,0.0,0.0,0.0,0.0,0.0
44,1724913732986665766,0.028451822698116302,0.07001927495002747,0.18530459702014923,0.0074850404635071754,-0.04377416893839836,-0.12016643583774567,0.9917599558830261,0.0,0.0,0.0,0.0,0.0,0.0
46,1724913732997232347,0.028879083693027496,0.07017441093921661,0.18539895117282867,0.007236360106617212,-0.044251881539821625,-0.11971866339445114,0.991794764995575,0.0,0.0,0.0,0.0,0.0,0.0
48,1724913733006907013,0.02923007123172283,0.07032188773155212,0.1854686141014099,0.006283769384026527,-0.04449620097875595,-0.1194201409816742,0.9918262958526611,0.0,0.0,0.0,0.0,0.0,0.0
50,1724913733016515643,0.029544759541749954,0.07050652801990509,0.1854638308286667,0.0045006549917161465,-0.0457599051296711,-0.1184464693069458,0.9918952584266663,0.0,0.0,0.0,0.0,0.0,0.0
52,1724913733027189643,0.02996833808720112,0.07071547955274582,0.1856386512517929,0.004253373481333256,-0.045004114508628845,-0.11935655772686005,0.991821825504303,0.0,0.0,0.0,0.0,0.0,0.0
54,1724913733037027262,0.030369171872735023,0.07092294096946716,0.18571047484874725,0.004736772738397121,-0.044920019805431366,-0.11951650679111481,0.9918042421340942,0.0,0.0,0.0,0.0,0.0,0.0
56,1724913733045719471,0.030786702409386635,0.07112643122673035,0.185745507478714,0.005559118930250406,-0.04487871378660202,-0.11916118115186691,0.9918445944786072,0.0,0.0,0.0,0.0,0.0,0.0
58,1724913733055838383,0.03115135431289673,0.07131866365671158,0.18553771078586578,0.006020999047905207,-0.046122319996356964,-0.11667223274707794,0.9920807480812073,0.0,0.0,0.0,0.0,0.0,0.0
60,1724913733067740083,0.031549710780382156,0.0715387612581253,0.1855170875787735,0.00685774115845561,-0.046784330159425735,-0.11561103910207748,0.9921685457229614,0.0,0.0,0.0,0.0,0.0,0.0
62,1724913733075870830,0.032012756913900375,0.07186552882194519,0.18560966849327087,0.008923503570258617,-0.04641667753458023,-0.1155623272061348,0.9921750426292419,0.0,0.0,0.0,0.0,0.0,0.0
64,1724913733086500008,0.032377082854509354,0.07218284904956818,0.1858978420495987,0.009131359867751598,-0.047633152455091476,-0.1153118684887886,0.9921446442604065,0.0,0.0,0.0,0.0,0.0,0.0
66,1724913733095394385,0.03275761753320694,0.07251662015914917,0.18591904640197754,0.007532956078648567,-0.04749901592731476,-0.11469501256942749,0.9922359585762024,0.0,0.0,0.0,0.0,0.0,0.0
68,1724913733106750608,0.03321383148431778,0.07290749251842499,0.18607006967067719,0.007422877475619316,-0.04775526002049446,-0.11403589695692062,0.9923003911972046,0.0,0.0,0.0,0.0,0.0,0.0
70,1724913733118094236,0.033764805644750595,0.0732964500784874,0.186025008559227,0.00781646091490984,-0.04708000272512436,-0.11321790516376495,0.992423415184021,0.0,0.0,0.0,0.0,0.0,0.0
72,1724913733125523558,0.03430861234664917,0.073676198720932,0.1859407275915146,0.010318444110453129,-0.04649154096841812,-0.11270514875650406,0.9924865961074829,0.0,0.0,0.0,0.0,0.0,0.0
74,1724913733137398496,0.03474144637584686,0.07378240674734116,0.18607346713542938,0.006851509213447571,-0.04699857160449028,-0.11323997378349304,0.9924318790435791,0.0,0.0,0.0,0.0,0.0,0.0
76,1724913733145380487,0.03537726402282715,0.07408604025840759,0.186195969581604,0.007341485004872084,-0.04607810080051422,-0.11364518105983734,0.9924252033233643,0.0,0.0,0.0,0.0,0.0,0.0
78,1724913733155788804,0.03595331311225891,0.07446293532848358,0.1862112283706665,0.008205573074519634,-0.045853860676288605,-0.11279520392417908,0.9925258159637451,0.0,0.0,0.0,0.0,0.0,0.0
80,1724913733166334015,0.03667440637946129,0.07468368858098984,0.1860826313495636,0.00863647647202015,-0.04630623757839203,-0.11193982511758804,0.9925979375839233,0.0,0.0,0.0,0.0,0.0,0.0
82,1724913733175532556,0.03757559508085251,0.07503639161586761,0.18586020171642303,0.008492053486406803,-0.04605448991060257,-0.11141272634267807,0.9926701784133911,0.0,0.0,0.0,0.0,0.0,0.0
84,1724913733188314672,0.038531478494405746,0.07551626861095428,0.1858765333890915,0.007303006015717983,-0.04549430310726166,-0.11194699257612228,0.9926454424858093,0.0,0.0,0.0,0.0,0.0,0.0
86,1724913733195498149,0.03958495333790779,0.07585873454809189,0.18566709756851196,0.0071740420535206795,-0.046140946447849274,-0.11136988550424576,0.9926813244819641,0.0,0.0,0.0,0.0,0.0,0.0
