seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
14,1724915044850331510,-0.4003695845603943,0.10503482818603516,0.17281551659107208,0.02067432552576065,-0.0034490441903471947,-0.2960275709629059,0.9549494385719299,0.0,0.0,0.0,0.0,0.0,0.0
16,1724915044850628039,-0.40049272775650024,0.10402099788188934,0.1723693311214447,0.02138936147093773,-0.004028529394418001,-0.29676347970962524,0.9547029137611389,0.0,0.0,0.0,0.0,0.0,0.0
18,1724915044851046559,-0.40063539147377014,0.10300575941801071,0.17169365286827087,0.022226417437195778,-0.006460204254835844,-0.295055091381073,0.9551998376846313,0.0,0.0,0.0,0.0,0.0,0.0
20,1724915044851480931,-0.40069079399108887,0.10217614471912384,0.17114180326461792,0.023233164101839066,-0.007095842622220516,-0.2941029965877533,0.9554650187492371,0.0,0.0,0.0,0.0,0.0,0.0
22,1724915044854387955,-0.40069103240966797,0.10152509808540344,0.17038747668266296,0.026675846427679062,-0.005094856023788452,-0.29376208782196045,0.9554927945137024,0.0,0.0,0.0,0.0,0.0,0.0
24,1724915044854808701,-0.40058717131614685,0.10067468136548996,0.1699080914258957,0.029789714142680168,-0.002492511412128806,-0.2952994406223297,0.9549370408058167,0.0,0.0,0.0,0.0,0.0,0.0
26,1724915044855228952,-0.40060192346572876,0.09986674040555954,0.16947884857654572,0.0284581296145916,-0.0019330756040289998,-0.2970919907093048,0.9544227719306946,0.0,0.0,0.0,0.0,0.0,0.0
28,1724915044855569047,-0.4008456766605377,0.09889014065265656,0.16905628144741058,0.024947678670287132,-0.003972423262894154,-0.29896166920661926,0.953930675983429,0.0,0.0,0.0,0.0,0.0,0.0
30,1724915044855950390,-0.4010430872440338,0.09794571995735168,0.16852658987045288,0.025352872908115387,-0.004849573597311974,-0.2987315356731415,0.9539880752563477,0.0,0.0,0.0,0.0,0.0,0.0
32,1724915044856225330,-0.4012377858161926,0.09715577960014343,0.16814590990543365,0.02713604085147381,-0.003778939601033926,-0.3004150986671448,0.9534149765968323,0.0,0.0,0.0,0.0,0.0,0.0
34,1724915044927425860,-0.4014202058315277,0.09643672406673431,0.16726228594779968,0.030379394069314003,-0.0017126182792708278,-0.3006613254547119,0.9532455205917358,0.0,0.0,0.0,0.0,0.0,0.0
36,1724915044927683318,-0.4015789031982422,0.09569122642278671,0.16627341508865356,0.03129352629184723,-0.0008823054376989603,-0.3008120656013489,0.9531694650650024,0.0,0.0,0.0,0.0,0.0,0.0
38,1724915044928201411,-0.4016713798046112,0.09495183825492859,0.1656370460987091,0.03167516738176346,-0.0017009361181408167,-0.3013148307800293,0.9529969692230225,0.0,0.0,0.0,0.0,0.0,0.0
40,1724915044928540213,-0.4016764163970947,0.09420422464609146,0.16511820256710052,0.03220951929688454,-0.002473383443430066,-0.3017919063568115,0.9528263807296753,0.0,0.0,0.0,0.0,0.0,0.0
42,1724915044929060395,-0.40173259377479553,0.09353595972061157,0.16479116678237915,0.03129711374640465,-0.003138646250590682,-0.30343666672706604,0.9523323178291321,0.0,0.0,0.0,0.0,0.0,0.0
44,1724915044929435853,-0.4017292261123657,0.09291193634271622,0.16455979645252228,0.03188197314739227,-0.0022191021125763655,-0.3062598407268524,0.9514113664627075,0.0,0.0,0.0,0.0,0.0,0.0
46,1724915044929756415,-0.4017074406147003,0.09247176349163055,0.16413386166095734,0.03333308920264244,-0.0010912733851000667,-0.3077096939086914,0.9508956074714661,0.0,0.0,0.0,0.0,0.0,0.0
48,1724915044938599697,-0.40166595578193665,0.09198786318302155,0.1636704057455063,0.03383861854672432,-0.0016568013234063983,-0.3081246018409729,0.9507425427436829,0.0,0.0,0.0,0.0,0.0,0.0
50,1724915044944301612,-0.4016096293926239,0.09161161631345749,0.16324777901172638,0.034745682030916214,-0.002091585425660014,-0.3084966242313385,0.9505884051322937,0.0,0.0,0.0,0.0,0.0,0.0
52,1724915044954624822,-0.4015357792377472,0.09127920866012573,0.16308824717998505,0.035491205751895905,-0.0008212525863200426,-0.31048911809921265,0.9499138593673706,0.0,0.0,0.0,0.0,0.0,0.0
54,1724915044964544857,-0.40147244930267334,0.0908660963177681,0.16262950003147125,0.034360211342573166,-0.0010085736867040396,-0.3118865191936493,0.949497401714325,0.0,0.0,0.0,0.0,0.0,0.0
56,1724915044981808783,-0.40142035484313965,0.09054511785507202,0.1621868908405304,0.034415487200021744,-0.001036374014802277,-0.31296783685684204,0.949139416217804,0.0,0.0,0.0,0.0,0.0,0.0
58,1724915044984742236,-0.4013696312904358,0.09027240425348282,0.16191671788692474,0.03546246886253357,-0.00022726395400241017,-0.31421270966529846,0.9486899971961975,0.0,0.0,0.0,0.0,0.0,0.0
60,1724915044995008388,-0.40139323472976685,0.09003251791000366,0.16186952590942383,0.03437036648392677,-0.0009054401889443398,-0.3157581686973572,0.9482166171073914,0.0,0.0,0.0,0.0,0.0,0.0
62,1724915045005349592,-0.40131044387817383,0.0896589457988739,0.16197147965431213,0.034957848489284515,-0.000465825607534498,-0.3185538351535797,0.9472599029541016,0.0,0.0,0.0,0.0,0.0,0.0
64,1724915045014482532,-0.40120527148246765,0.0894700139760971,0.16190646588802338,0.03604739531874657,0.0009424056624993682,-0.32068750262260437,0.946498453617096,0.0,0.0,0.0,0.0,0.0,0.0
66,1724915045024464164,-0.4012915790081024,0.0891677662730217,0.16159112751483917,0.03645355999469757,0.0012139679165557027,-0.3220984637737274,0.9460033774375916,0.0,0.0,0.0,0.0,0.0,0.0
68,1724915045036426168,-0.4012909531593323,0.08896983414888382,0.16136430203914642,0.03702465444803238,0.0013730087084695697,-0.3231431245803833,0.9456245303153992,0.0,0.0,0.0,0.0,0.0,0.0
