seq,stamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az,timestamp,wx,wy,wz,aa_x,aa_y,aa_z,roll,pitch,yaw,vx,vy,vz,jx,jy,jz,forward_velocity
1940,1724915239458353377,-0.4585178196430206,0.1023906618356704,0.1767425835132599,0.0129987588152289,-0.0051912814378738,-0.393962949514389,0.9190198183059692,0.0,0.0,0.0,0.7119484208236774,4.114087193908623,-0.5770606161707041,0.0,0.0,0.0,0.0,-60.90761283072738,-51.5139339949683,-10.771055479042056,0.027986239014682855,0.0007002777353623584,-0.8099527881081415,0.027744359636041608,0.12493273507771578,0.01434119556980266,-44.42978927504677,-264.1763822489456,-2.3751623427379966,0.0
1942,1724915239470902974,-0.4581696391105652,0.1039585173130035,0.1769225597381591,0.0069969380274415,-0.0070186373777687,-0.394812136888504,0.9187084436416626,0.0,0.0,0.0,0.15437247062691828,0.7987800597664023,-0.6068679463816419,0.012549597,-0.7643659952576578,-0.6464791115214521,-0.13517240552661974,-17.66775302764804,-37.22787798298029,9.492065668410545,0.018399916608026215,-0.007371277488827047,-0.8118367769679041,0.036679025402165166,0.17656287138412985,0.00709931739228864,-11.773149805737791,-305.1680070296263,74.4153862781792,-0.07144484029662941
1944,1724915239477830206,-0.4578813910484314,0.1053790301084518,0.1769440472126007,0.0035391065757721,-0.0087361745536327,-0.3948216736316681,0.9187094569206238,0.0,0.0,0.0,0.19768801206835196,-1.471931319887526,0.20225269152056313,0.019476829,-0.7214161308708017,-0.8497389278522491,0.0080624799672553,22.424385805566573,-1.7522104138938097,18.82843749682047,0.013402862595420692,-0.013257768776109352,-0.8118745468685017,0.03561636731900464,0.1694192948006985,0.002781426504015805,-4.270709186323382,-174.73461412137905,126.81204808554841,-0.12010287831362143
1946,1724915239489947818,-0.4575768709182739,0.1066764667630195,0.1769709587097168,0.0022553540766239,-0.0100801140069961,-0.3937357068061828,0.9191656708717346,0.0,0.0,0.0,-0.07713247678960355,-0.34487887287698094,1.9510762307469718,0.031594441,-0.10578099564894648,-0.2861478447292034,0.19703264621117844,39.09760116414258,82.99811251734064,-26.024709368175593,0.012085880361710592,-0.016755346620737268,-0.8095310758960733,0.045453949044791386,0.14224147913517982,0.02273193499862458,-150.02067263606853,-36.22369250874479,-22.583128835260354,-0.06013349240557018
1948,1724915239498006611,-0.4571016430854797,0.1080112606287002,0.1772640794515609,0.0037251489702612,-0.0081687038764357,-0.3945963382720947,0.9188107252120972,0.0,0.0,0.0,-1.9686013636219644,-1.3294210485461875,0.8745645396174397,0.039653234,0.14655292809911463,0.578273789852508,-0.23575348954569636,-6.09973770769394,35.34971761931907,-31.582609992524183,0.013293454969117456,-0.012071418349784584,-0.8113718615931261,0.04006791216745498,0.14963424173472895,0.040088129889436,-160.28290044629503,-58.916446632959094,-86.63077322712006,-0.07907566492701358
1950,1724915239508063211,-0.4569359123706817,0.1093153059482574,0.177713856101036,0.0020230601076036,-0.0072565758600831,-0.3958844244480133,0.9182694554328918,0.0,0.0,0.0,-2.6464829658306726,-1.128109759884012,0.592579092363926,0.049709834,-0.3842900307339971,0.031266071264120725,-0.27575610428447167,-30.26273019193221,-56.42952000812424,8.697877847980424,0.009461750911990445,-0.011725456633873272,-0.8141414687005866,0.003952658994446523,0.10806850286577818,0.03283058897940894,44.93547268412389,67.35212592026986,-1.2861023688687823,-0.08244485199769189
1952,1724915239521840038,-0.457117885351181,0.1103964447975158,0.1779416799545288,-0.0024999475572258,-0.011194746941328,-0.3953800797462463,0.9184460639953612,0.0,0.0,0.0,0.09284865917548779,0.6931419779032737,1.0797912753053325,0.063486661,-0.3761354726417965,-0.7845911990131736,0.08330359650953284,-29.350599527783423,-58.72303181989356,-51.76873246697952,0.004261321443560098,-0.02254231057945886,-0.8130679411190189,-0.014677592442446041,0.14924224402100705,0.06579862064197073,118.59706392892858,-282.1151232208701,-224.1679316555785,-0.06569269427737386
1954,1724915239527763819,-0.4572085738182068,0.1114607751369476,0.1784569323062896,-0.0055143139325082,-0.0135415848344564,-0.3965361416339874,0.917902648448944,0.0,0.0,0.0,0.5910133336990269,-2.0333467729926347,-0.9091900526436086,0.069410442,-0.6262690366612351,-1.1311889312101053,-0.4216084542987193,-11.341513666464458,-19.724825100692378,-42.36193365314711,0.0006165123983232924,-0.029237127893736514,-0.8155825006884833,-0.010446643587634696,0.14750140821543,0.06885015661507055,57.380331747090835,-286.12649806643424,-261.213167540984,-0.13871331534735182
1956,1724915239539212303,-0.457220584154129,0.1124376729130745,0.1788440197706222,-0.0070323562249541,-0.0159961953759193,-0.3963037133216858,0.9179532527923584,0.0,0.0,0.0,0.6568343745017313,-1.456201470906489,-2.2502370301346324,0.080858926,-0.07278636218085976,-0.49886929484719555,0.04200280489564245,21.82981084525229,35.40282811062001,20.11190147834471,-0.00023218707424758642,-0.03494853084630659,-0.8151026093033394,-0.0064067167828874005,0.08573558684478311,0.026927164631230127,47.77382098299764,166.43931285500798,20.757975149634674,-0.06160241938372131
1958,1724915239549248158,-0.4573320150375366,0.1133016720414161,0.1790536940097808,-0.0080705815926194,-0.0172857865691185,-0.3960017263889313,0.9180516600608826,0.0,0.0,0.0,1.505997305132277,1.234909821975477,-0.8287732315423583,0.090894781,-0.0869781195330973,-0.31801705720794143,0.06451823872047538,-24.752740395805954,22.046156351054275,4.606943007321526,-0.0011288401753776541,-0.03813966446741124,-0.8144525156606565,0.002859236531097764,0.10577402038154027,0.016763097334166588,25.08647784788134,112.15232848420037,72.0108740769245,-0.06939054721743425
1960,1724915239557886172,-0.4572035074234009,0.1143616884946823,0.1791677922010421,-0.0101273627951741,-0.0168574638664722,-0.3955495059490204,0.91823410987854,0.0,0.0,0.0,1.2801232906279427,1.0438630532999529,-0.7244149593488421,0.099532795,-0.47431237433521467,-0.09765263917384527,0.12188497553992572,-20.664967152193157,14.13647250441825,1.7844510958317001,-0.005266681904379537,-0.03897981376328888,-0.8133961064428085,0.02020045386467295,0.11077749427506722,0.01097217509132875,-101.48672676692212,-50.61669252380859,-5.264932934891384,-0.07837223083539152
1962,1724915239571250560,-0.456823468208313,0.1155953258275985,0.1792681813240051,-0.0120505364611744,-0.0170750152319669,-0.3952892124652862,0.9183189272880554,0.0,0.0,0.0,-1.633934498476433,-0.22188220436149386,-1.1534425174098983,0.112897183,-0.2506099732404407,-0.1439167671599054,0.04531093361733452,-79.44561568167786,-81.04307675546247,-13.828551976175316,-0.008640665920168404,-0.04089891460431106,-0.8127766675718365,0.02226769596848044,0.13433504580562072,0.00017394801392356385,-107.32129377479401,-195.52607948427988,-19.591772758932365,-0.04713718172180628
1964,1724915239577840066,-0.4566967785358429,0.1166170760989189,0.1792454868555069,-0.0165453106164932,-0.0184763800352811,-0.3955272734165191,0.9181193709373474,0.0,0.0,0.0,-1.9813769316121725,-1.837858156578951,-1.2418952785630863,0.119486689,-1.0866251420620918,-0.93001636982778,-0.07212595620085313,-74.54675300574793,-68.31960685147702,-8.833480233923666,-0.015783424283056575,-0.04703262599834407,-0.8131775592584113,0.005689564196570629,0.1264249060370739,-0.008549077259496052,47.751686913296005,-105.52156778223633,0.5745945008318998,-0.09948508500257565
1966,1724915239589123056,-0.4568940997123718,0.1174903661012649,0.179050400853157,-0.0228918381035327,-0.0201386976987123,-0.3955378830432892,0.91794353723526,0.0,0.0,0.0,0.49859419219678724,-0.32926992042522585,-0.9649804732236618,0.130769679,-0.916863898981094,-0.7160343119672283,0.001855778131996476,25.754998642761016,39.762455449823264,3.63310669380721,-0.026138247205324837,-0.05510944396126327,-0.8129870687376232,-0.006340772853484111,0.09337329114700843,-0.02097948943516137,133.05719968066347,125.98744624897174,72.312916468465,-0.069087222221715
1968,1724915239598443765,-0.45686736702919,0.1184836700558662,0.1788264513015747,-0.0257771257311105,-0.0198342502117156,-0.3955157101154327,0.9178831577301024,0.0,0.0,0.0,1.0709087849156962,0.7856022599831967,0.07684358062501118,0.140090388,-0.5943512042420936,-0.1852860121999978,0.013206379915343677,39.360281611915696,42.40022922120353,5.474368152055962,-0.03168771839161715,-0.056832153502789216,-0.8128137344045185,0.01035520324824546,0.11032394901089493,-0.02892113205800584,-26.29278571411354,-15.24163560412698,160.31861486607113,-0.07666473195980858
1970,1724915239607834675,-0.4566992819309234,0.1195552349090576,0.1785085499286651,-0.0264215301722288,-0.0191633161157369,-0.3950892686843872,0.918062686920166,0.0,0.0,0.0,-0.005745353908269746,-0.6334706741593763,2.041681626758735,0.149481298,-0.1796986801347185,0.07529311195747626,0.10488995291861138,15.882300383671096,4.971726626489878,0.6759432596695527,-0.03342959599349715,-0.056093388416789805,-0.8118506769874041,0.013596142224720609,0.10792759994198953,-0.01941071299764019,-57.917743469125334,-102.70247480183167,93.48213010704771,-0.07226133502531776
