seq,timestamp,px,py,pz,ox,oy,oz,ow,lx,ly,lz,ax,ay,az
2528,1722911376687251503,-1.923363447,-0.895713151,0.17319591343402863,-0.022505702,0.041220586746931076,0.3748432695865631,-0.925897896,0,0,0,0,0,0
2530,1722911376694588780,-1.922893405,-0.895909011,0.17189723253250122,-0.020164981,0.049873598,0.3740173578262329,-0.925860167,0,0,0,0,0,0
2532,1722911376703745709,-1.922293782,-0.896008193,0.17245088517665863,-0.022005247,0.04457261,0.37476128339767456,-0.925787807,0,0,0,0,0,0
2534,1722911376715979904,-1.921675444,-0.896082938,0.17230410873889923,-0.021505844,0.044443216,0.37511274218559265,-0.925663412,0,0,0,0,0,0
2536,1722911376724076241,-1.921093225,-0.896171987,0.1721600890159607,-0.021480547,0.044147499,0.3757949471473694,-0.92540139,0,0,0,0,0,0
2538,1722911376734500954,-1.920467496,-0.896171868,0.1720883548259735,-0.022071926,0.043539941,0.37684911489486694,-0.924987495,0,0,0,0,0,0
2540,1722911376744477339,-1.919931769,-0.896228075,0.1719224452972412,-0.021933777,0.043912236,0.37757471203804016,-0.924677253,0,0,0,0,0,0
2542,1722911376754120505,-1.91934979,-0.896342278,0.17181441187858582,-0.021473957,0.044043552,0.37806832790374756,-0.924480021,0,0,0,0,0,0
2544,1722911376763775423,-1.918861628,-0.896407187,0.17173323035240173,-0.022040406,0.044066786766052246,0.3788827657699585,-0.924132228,0,0,0,0,0,0
2546,1722911376773336485,-1.91836369,-0.896575391,0.17174214124679565,-0.022684176,0.044500247,0.3789796531200409,-0.924056113,0,0,0,0,0,0
2548,1722911376786631333,-1.917820811,-0.896459401,0.17201681435108185,-0.024075961,0.042398132383823395,0.3811216652393341,-0.923238337,0,0,0,0,0,0
2550,1722911376793590547,-1.917374015,-0.89670521,0.17186319828033447,-0.023277571,0.042688888,0.3811487555503845,-0.923234284,0,0,0,0,0,0
2552,1722911376803870724,-1.916906834,-0.896824062,0.1715710312128067,-0.022290612,0.044072911,0.3824153244495392,-0.922669709,0,0,0,0,0,0
2554,1722911376815917143,-1.916653156,-0.897372365,0.17041005194187164,-0.020216716,0.052161708,0.3805115818977356,-0.92308259,0,0,0,0,0,0
2556,1722911376826490743,-1.916272521,-0.897495031,0.1711684763431549,-0.021724204,0.045667387545108795,0.38172370195388794,-0.922892094,0,0,0,0,0,0
2558,1722911376837973245,-1.915952682,-0.89764297,0.17105840146541595,-0.021925636,0.045407396,0.38268423080444336,-0.92250216,0,0,0,0,0,0
2560,1722911376844041950,-1.915697336,-0.897804499,0.17089521884918213,-0.022078304,0.04546896,0.38332033157348633,-0.922231317,0,0,0,0,0,0
2562,1722911376853739028,-1.915598154,-0.898049653,0.1706472933292389,-0.021963967,0.046119526,0.38366302847862244,-0.922059238,0,0,0,0,0,0
2564,1722911376864494284,-1.91563046,-0.8986305,0.16969823837280273,-0.021035085,0.049840242,0.38299885392189026,-0.922163486,0,0,0,0,0,0
2566,1722911376873350627,-1.915502906,-0.899056911,0.1687447428703308,-0.020531651,0.054415300488471985,0.38218316435813904,-0.922254562,0,0,0,0,0,0
2568,1722911376888332112,-1.915250897,-0.899266362,0.16864527761936188,-0.020227939,0.054742831736803055,0.38294664,-0.921925128,0,0,0,0,0,0
2570,1722911376894559954,-1.914985657,-0.899502516,0.16868066787719727,-0.019691437,0.054998572915792465,0.3836643695831299,-0.921623111,0,0,0,0,0,0
2572,1722911376904210541,-1.914827585,-0.899392486,0.16955576837062836,-0.019180967,0.050759032,0.3864724636077881,-0.920703471,0,0,0,0,0,0
2574,1722911376913751671,-1.914353609,-0.899666786,0.16981945931911469,-0.019892052,0.050200674682855606,0.38690754771232605,-0.920536101,0,0,0,0,0,0
2576,1722911376923704957,-1.913998246,-0.899845064,0.17011059820652008,-0.019704906,0.048655998,0.387986422,-0.920168996,0,0,0,0,0,0
2578,1722911376933277086,-1.913784981,-0.900087893,0.17000378668308258,-0.0195683,0.049673989,0.3884669244289398,-0.919914663,0,0,0,0,0,0
2580,1722911376943269097,-1.913596869,-0.900300503,0.1697731614112854,-0.019782938,0.051201861,0.38879022002220154,-0.919689775,0,0,0,0,0,0
2582,1722911376953714495,-1.91334343,-0.90048182,0.16978366672992706,-0.019840471,0.051191054,0.3894523084163666,-0.919408917,0,0,0,0,0,0
2584,1722911376964869887,-1.913043857,-0.900670111,0.17007702589035034,-0.020099005,0.04989896,0.39024144411087036,-0.919139624,0,0,0,0,0,0
2586,1722911376973217620,-1.912698627,-0.90085727,0.17015330493450165,-0.020793861,0.049839705,0.3908424377441406,-0.918872058,0,0,0,0,0,0
