control_type,Terrain,Leg,t_0,t_f
Predefined,Flat,1,0,9999
Predefined,Flat,2,0,9999
Predefined,Flat,3,0,9999
Predefined,Flat,4,0,9999
Predefined,Flat,5,0,9999
Predefined,Flat,6,0,9999
Neural,Flat,1,0,9999
Neural,Flat,2,0,9999
Neural,Flat,3,0,9999
Neural,Flat,4,0,9999
Neural,Flat,5,0,9999
Neural,Flat,6,0,9999
Neural,Hill,1,0,9999
Neural,Hill,2,0,9999
Neural,Hill,3,0,9999
Neural,Hill,4,0,9999
Neural,Hill,5,0,9999
Neural,Hill,6,0,9999
Predefined,Hill,1,0,9999
Predefined,Hill,2,0,9999
Predefined,Hill,3,0,9999
Predefined,Hill,4,0,9999
Predefined,Hill,5,0,9999
Predefined,Hill,6,0,9999
