,times,Mean Divergence
0,0.0,-4.998336348018082
1,0.01,-4.7559844334648655
2,0.02,-4.501465947387567
3,0.03,-4.329628431808939
4,0.04,-4.210719972918517
5,0.05,-4.140943021999862
6,0.06,-4.107988603364769
7,0.07,-4.11601271447714
8,0.08,-4.148386143994305
9,0.09,-4.198242899436238
10,0.1,-4.300320810267362
11,0.11,-4.378040963314767
12,0.12,-4.318299934325433
13,0.13,-4.2205395216993615
14,0.14,-4.145371222515826
15,0.15,-4.083681324672802
16,0.16,-4.043269931758353
17,0.17,-4.02166506188305
18,0.18,-4.015596621766241
19,0.19,-4.001394108273152
20,0.2,-3.998955822608552
21,0.21,-4.025441692666289
22,0.22,-4.048005860111735
23,0.23,-4.04149328807763
24,0.24,-4.017779270080717
25,0.25,-3.9953233309493776
26,0.26,-3.977582439569379
27,0.27,-3.962844253269227
28,0.28,-3.958207386058011
29,0.29,-3.9416863459282867
30,0.3,-3.9041341061482453
31,0.31,-3.8674291982324505
32,0.32,-3.8447655043821656
33,0.33,-3.837756434199504
34,0.34,-3.843844628590911
35,0.35000000000000003,-3.859719347665388
36,0.36,-3.8840846721881594
37,0.37,-3.9200293087785028
38,0.38,-3.961191294891144
39,0.39,-3.9884195283900437
40,0.4,-3.9678767808826807
41,0.41000000000000003,-3.9246953701016447
42,0.42,-3.8911665171720475
43,0.43,-3.8573655500898374
44,0.44,-3.838607943949915
45,0.45,-3.835421266545166
46,0.46,-3.8332008913944873
47,0.47000000000000003,-3.8413870687667484
48,0.48,-3.866536530326509
49,0.49,-3.8786046156531535
50,0.5,-3.871224457897745
51,0.51,-3.860316285162815
52,0.52,-3.846645944790903
53,0.53,-3.8271168532299416
54,0.54,-3.809471908065646
55,0.55,-3.7930981051695083
56,0.56,-3.7690869276078587
57,0.5700000000000001,-3.746075901092203
58,0.58,-3.7135204029340363
59,0.59,-3.6905995844786434
60,0.6,-3.677356305568967
61,0.61,-3.659082677673171
62,0.62,-3.6496058828997264
63,0.63,-3.6480592804829257
64,0.64,-3.652344311247792
65,0.65,-3.6567137467767727
66,0.66,-3.6649291345056785
67,0.67,-3.6646473824195818
68,0.68,-3.6568592144936374
69,0.6900000000000001,-3.631734032413683
70,0.7000000000000001,-3.610364929250151
71,0.71,-3.590392297839526
72,0.72,-3.5600904680106558
73,0.73,-3.5335627055358754
74,0.74,-3.5223391069574794
75,0.75,-3.5191680179136036
76,0.76,-3.5245413565790384
77,0.77,-3.5418872227754283
78,0.78,-3.5504999223306233
79,0.79,-3.542198698015392
80,0.8,-3.512836524946904
81,0.81,-3.4841040896432003
82,0.8200000000000001,-3.457738307526044
83,0.8300000000000001,-3.421524121138471
84,0.84,-3.3984707568548607
85,0.85,-3.3881806096898788
86,0.86,-3.3947505822209476
87,0.87,-3.402204075505077
88,0.88,-3.4197073165550114
89,0.89,-3.434245125458256
90,0.9,-3.430599473305434
91,0.91,-3.4179486216499675
92,0.92,-3.4040472653252394
93,0.93,-3.3837098940463894
94,0.9400000000000001,-3.355337512122481
95,0.9500000000000001,-3.335589316442603
96,0.96,-3.317737268327506
97,0.97,-3.313653244419975
98,0.98,-3.3143303681819773
99,0.99,-3.3077348906075374
100,1.0,-3.2970161574273056
101,1.01,-3.286632394036577
102,1.02,-3.2726383114075377
103,1.03,-3.2606409262769627
104,1.04,-3.249429761482445
105,1.05,-3.236320201499293
106,1.06,-3.2263109294385663
107,1.07,-3.2240431467399135
108,1.08,-3.2277997027090772
109,1.09,-3.223515329260252
110,1.1,-3.2030708886760784
111,1.11,-3.179459023311786
112,1.12,-3.1631972371377555
113,1.1300000000000001,-3.150383952787762
114,1.1400000000000001,-3.1438344959028854
115,1.1500000000000001,-3.14541083265694
116,1.16,-3.1523470010775645
117,1.17,-3.158050181593623
118,1.18,-3.1610142887475385
119,1.19,-3.161744294772271
120,1.2,-3.1552918805025145
121,1.21,-3.138298899933594
122,1.22,-3.1269707073015147
123,1.23,-3.118861931385865
124,1.24,-3.1131776290609485
125,1.25,-3.11287319980609
126,1.26,-3.117197341396585
127,1.27,-3.1286377215492256
128,1.28,-3.1397786468563598
129,1.29,-3.147106051373804
130,1.3,-3.1514496874594777
131,1.31,-3.1538353947717725
132,1.32,-3.149819469381482
133,1.33,-3.1463582926914784
134,1.34,-3.146722530399039
135,1.35,-3.148027714184615
136,1.36,-3.1502589272230943
137,1.37,-3.1530680810571368
138,1.3800000000000001,-3.159466172791429
139,1.3900000000000001,-3.1663371632364283
140,1.4000000000000001,-3.1699724463345067
141,1.41,-3.1698438461348752
142,1.42,-3.172542481191538
143,1.43,-3.1783778852852587
144,1.44,-3.1888191970837045
145,1.45,-3.2033103746872134
146,1.46,-3.21409461280335
147,1.47,-3.225881779771732
148,1.48,-3.2403450032674757
149,1.49,-3.2630188053178495
150,1.5,-3.2790175870126292
151,1.51,-3.3007128553186624
152,1.52,-3.313331143973744
153,1.53,-3.324434857636196
154,1.54,-3.3369906920718697
155,1.55,-3.356873798726414
156,1.56,-3.3790983812084154
157,1.57,-3.387272300100436
158,1.58,-3.391829842776215
159,1.59,-3.3971974245745367
160,1.6,-3.404589302049602
161,1.61,-3.4128062153801295
162,1.62,-3.4243848014611333
163,1.6300000000000001,-3.439885759494732
164,1.6400000000000001,-3.4611459083114062
165,1.6500000000000001,-3.4892356991721436
166,1.6600000000000001,-3.518769207824757
167,1.67,-3.5501906507129193
168,1.68,-3.5719855779532894
169,1.69,-3.6008540320469526
170,1.7,-3.6268042057197323
171,1.71,-3.641581695006197
172,1.72,-3.6462530402345825
173,1.73,-3.6633946858513227
174,1.74,-3.694657919223181
175,1.75,-3.7249476299770947
176,1.76,-3.7432403025567345
177,1.77,-3.760495681395823
178,1.78,-3.7719639150408555
179,1.79,-3.7884306656121924
180,1.8,-3.806022486045935
181,1.81,-3.8247977449038095
182,1.82,-3.819313809663382
183,1.83,-3.819259997367175
184,1.84,-3.840678805738044
185,1.85,-3.8824351419537177
186,1.86,-3.9191638303233285
187,1.87,-3.9511954579935136
188,1.8800000000000001,-3.9769637706538243
189,1.8900000000000001,-3.9878230260789134
190,1.9000000000000001,-3.9814819306655798
191,1.9100000000000001,-3.980435126061358
192,1.92,-3.981547102427954
193,1.93,-3.9769723812481446
194,1.94,-3.9838001480486116
