,times,Mean Divergence
0,0.0,-5.722813884708048
1,0.01,-5.71013436695223
2,0.02,-5.695948929175447
3,0.03,-5.689377814308822
4,0.04,-5.693975079176465
5,0.05,-5.70446241898182
6,0.06,-5.7072043967241965
7,0.07,-5.694912977503028
8,0.08,-5.6827354982927885
9,0.09,-5.678173812996931
10,0.1,-5.6841930383143024
11,0.11,-5.694318083801619
12,0.12,-5.686919443266927
13,0.13,-5.672130023027829
14,0.14,-5.65890899507412
15,0.15,-5.653484121562747
16,0.16,-5.6567368686857895
17,0.17,-5.658050035317481
18,0.18,-5.651007063629538
19,0.19,-5.638675131341251
20,0.2,-5.6280654929835325
21,0.21,-5.624357555964406
22,0.22,-5.627881214767164
23,0.23,-5.620570305352485
24,0.24,-5.611318105999107
25,0.25,-5.598295283621072
26,0.26,-5.587670390065341
27,0.27,-5.582547021263717
28,0.28,-5.5794276166466314
29,0.29,-5.572508923350022
30,0.3,-5.5650334293939245
31,0.31,-5.55463314588735
32,0.32,-5.546054574736641
33,0.33,-5.541882770223715
34,0.34,-5.532108257132391
35,0.35000000000000003,-5.523278671739067
36,0.36,-5.514703350432073
37,0.37,-5.504336347603181
38,0.38,-5.494901086736575
39,0.39,-5.486199609245435
40,0.4,-5.477233823296865
41,0.41000000000000003,-5.469949458778389
42,0.42,-5.463262532500711
43,0.43,-5.454747290037582
44,0.44,-5.446522825270363
45,0.45,-5.432990133334183
46,0.46,-5.4229448310363235
47,0.47000000000000003,-5.414846390003609
48,0.48,-5.407712925478139
49,0.49,-5.3984767972842125
50,0.5,-5.387115939335676
51,0.51,-5.374999135250176
52,0.52,-5.366573433682526
53,0.53,-5.360241225243896
54,0.54,-5.354247454165779
55,0.55,-5.346217513941885
56,0.56,-5.3311832158231915
57,0.5700000000000001,-5.318866779013235
58,0.58,-5.310084350309187
59,0.59,-5.303399026445653
60,0.6,-5.296346060439449
61,0.61,-5.285823938885765
62,0.62,-5.272530990482724
63,0.63,-5.262138856145807
64,0.64,-5.255056361046589
65,0.65,-5.249340253900596
66,0.66,-5.242928119166277
67,0.67,-5.229328681645631
68,0.68,-5.216185664808874
69,0.6900000000000001,-5.205907039940655
70,0.7000000000000001,-5.198652850151086
71,0.71,-5.1920253709044
72,0.72,-5.1833606866124535
73,0.73,-5.171369297969592
74,0.74,-5.1601892300737395
75,0.75,-5.151579531833373
76,0.76,-5.145282289619735
77,0.77,-5.13927460795032
78,0.78,-5.127790665411508
79,0.79,-5.115939453247153
80,0.8,-5.105024941865448
81,0.81,-5.096440877242817
82,0.8200000000000001,-5.089553122334322
83,0.8300000000000001,-5.081689239588264
84,0.84,-5.071473807524776
85,0.85,-5.06128118774456
86,0.86,-5.0521058473984315
87,0.87,-5.044478986340118
88,0.88,-5.038235754185162
89,0.89,-5.028106403896907
90,0.9,-5.017722599772048
91,0.91,-5.007764053816569
92,0.92,-4.998731789288157
93,0.93,-4.990943952914834
94,0.9400000000000001,-4.983359551594703
95,0.9500000000000001,-4.9742980557691965
96,0.96,-4.964995491919018
97,0.97,-4.956572331901566
98,0.98,-4.948482921401457
99,0.99,-4.941427751865473
100,1.0,-4.932136250047272
101,1.01,-4.922848096998232
102,1.02,-4.913586875003991
103,1.03,-4.905284747183972
104,1.04,-4.8971890080990805
105,1.05,-4.889262795565722
106,1.06,-4.880830847522366
107,1.07,-4.872429474307765
108,1.08,-4.8642440689713915
109,1.09,-4.856751628185982
110,1.1,-4.849317862153114
111,1.11,-4.840304134412863
112,1.12,-4.831648002288547
113,1.1300000000000001,-4.823208829898802
114,1.1400000000000001,-4.81507186075307
115,1.1500000000000001,-4.807552322785041
116,1.16,-4.799558655091897
117,1.17,-4.791237573279377
118,1.18,-4.783310046613427
119,1.19,-4.775763589825603
120,1.2,-4.768131054535945
121,1.21,-4.761183681819674
122,1.22,-4.752484354243461
123,1.23,-4.743997926514645
124,1.24,-4.735992563164412
125,1.25,-4.72846785981277
126,1.26,-4.720996732736051
127,1.27,-4.7136988297686075
128,1.28,-4.70559802666549
129,1.29,-4.697753693488216
130,1.3,-4.690480684744113
131,1.31,-4.683334645374884
132,1.32,-4.676305903698135
133,1.33,-4.668492212080944
134,1.34,-4.660425538146926
135,1.35,-4.65257051799638
136,1.36,-4.645374414578998
137,1.37,-4.6384325891953635
138,1.3800000000000001,-4.631076900539073
139,1.3900000000000001,-4.623718570473618
140,1.4000000000000001,-4.616253645976922
141,1.41,-4.608930853173017
142,1.42,-4.602116535095225
143,1.43,-4.595566491908151
144,1.44,-4.587845499675644
145,1.45,-4.580568282592483
146,1.46,-4.573137589355849
147,1.47,-4.565984462112909
148,1.48,-4.559519982454575
149,1.49,-4.552735716236796
150,1.5,-4.545395889245586
151,1.51,-4.538635778687967
152,1.52,-4.53163192201355
153,1.53,-4.52488887126162
154,1.54,-4.518711341702987
155,1.55,-4.511743930314031
156,1.56,-4.50445475344125
157,1.57,-4.4977496343092636
158,1.58,-4.490904305913949
159,1.59,-4.484648396064955
160,1.6,-4.478365886006609
161,1.61,-4.471683370585182
162,1.62,-4.464819159609377
163,1.6300000000000001,-4.45843061019157
164,1.6400000000000001,-4.451933948795504
165,1.6500000000000001,-4.445898269194583
166,1.6600000000000001,-4.439684257240043
167,1.67,-4.433076171883918
168,1.68,-4.426267594664467
169,1.69,-4.419994850754582
170,1.7,-4.414014034280791
171,1.71,-4.408004733604294
172,1.72,-4.401911696463662
173,1.73,-4.39567408524086
174,1.74,-4.389100550401307
175,1.75,-4.383071372141652
176,1.76,-4.37725935172882
177,1.77,-4.371508968219927
178,1.78,-4.365551155052695
179,1.79,-4.3593539187780035
180,1.8,-4.3528844677154535
181,1.81,-4.34734414164551
182,1.82,-4.341599534849641
183,1.83,-4.33586314439344
184,1.84,-4.33019095286378
185,1.85,-4.324154363001435
186,1.86,-4.317784494213289
187,1.87,-4.312396927960686
188,1.8800000000000001,-4.307002564954524
189,1.8900000000000001,-4.301463391012159
190,1.9000000000000001,-4.295833967882095
191,1.9100000000000001,-4.289922478265822
192,1.92,-4.284063036240853
193,1.93,-4.278774207832633
194,1.94,-4.273391284713911
195,1.95,-4.268078304391983
196,1.96,-4.262579477723536
197,1.97,-4.256767607936995
198,1.98,-4.251068583087212
199,1.99,-4.246150735038225
200,2.0,-4.241017050121054
201,2.0100000000000002,-4.235807440818913
202,2.02,-4.230427738712461
203,2.0300000000000002,-4.225096116077944
204,2.04,-4.219553538914122
205,2.05,-4.214660511748141
206,2.06,-4.209722546329761
207,2.07,-4.204630636408186
208,2.08,-4.199325749846499
209,2.09,-4.194157938360405
210,2.1,-4.18894874373714
211,2.11,-4.18427414234611
212,2.12,-4.179434815565095
213,2.13,-4.174454046661324
214,2.14,-4.169575566039421
215,2.15,-4.164457101992962
216,2.16,-4.15935133704308
217,2.17,-4.154821733073273
218,2.18,-4.150056188706792
219,2.19,-4.145125502770787
220,2.2,-4.140440592145195
221,2.21,-4.13566560337537
222,2.22,-4.130790935647837
223,2.23,-4.126364017834733
224,2.24,-4.121702813818377
225,2.25,-4.117169736068307
226,2.2600000000000002,-4.112490072857893
227,2.27,-4.107803288272185
228,2.2800000000000002,-4.103065329162478
229,2.29,-4.0986903044304475
230,2.3000000000000003,-4.094094601185839
231,2.31,-4.089779115963625
232,2.32,-4.085476026856183
233,2.33,-4.080967623826658
234,2.34,-4.076353736701134
235,2.35,-4.072054525020787
236,2.36,-4.06783135310528
237,2.37,-4.063527266162929
238,2.38,-4.059243004794099
239,2.39,-4.054834153413301
240,2.4,-4.05025765058016
241,2.41,-4.046052298852132
242,2.42,-4.0420173317321
243,2.43,-4.038079643973222
244,2.44,-4.033925558584619
245,2.45,-4.02963556590828
246,2.46,-4.025105893524995
247,2.47,-4.021249336106168
248,2.48,-4.017216937025087
249,2.49,-4.013340200418311
250,2.5,-4.009189870653566
251,2.5100000000000002,-4.004925996332979
252,2.52,-4.000531388272051
253,2.5300000000000002,-3.9968143338053954
254,2.54,-3.993130699027297
255,2.5500000000000003,-3.989296877152506
256,2.56,-3.9852508212310025
257,2.57,-3.9809856611519536
258,2.58,-3.9769200773447797
259,2.59,-3.9731897256215842
260,2.6,-3.9695729924965364
261,2.61,-3.9656967975731345
262,2.62,-3.961704887981481
263,2.63,-3.957529697890574
264,2.64,-3.95358117936059
265,2.65,-3.9501959177205843
266,2.66,-3.9466447983387045
267,2.67,-3.9428652441066916
268,2.68,-3.9388256657783356
269,2.69,-3.93491406198575
270,2.7,-3.9309814867990562
271,2.71,-3.927659373279831
272,2.72,-3.924031776165607
273,2.73,-3.9203385110104647
274,2.74,-3.9163989626443803
275,2.75,-3.9125585731344397
276,2.7600000000000002,-3.9089703798781548
277,2.77,-3.9057108503331226
278,2.7800000000000002,-3.902205659606079
279,2.79,-3.8984296943169574
280,2.8000000000000003,-3.894642347115346
281,2.81,-3.890840361945306
282,2.82,-3.887294908725927
283,2.83,-3.8839583156718698
284,2.84,-3.880517175667359
285,2.85,-3.876849354718992
286,2.86,-3.8731000240088713
287,2.87,-3.869629043160797
288,2.88,-3.866164197715743
289,2.89,-3.862955970431565
290,2.9,-3.859437393068182
291,2.91,-3.855801455717664
292,2.92,-3.852056737942261
293,2.93,-3.8485926399746417
294,2.94,-3.8450740063626103
295,2.95,-3.8419161922986533
296,2.96,-3.838442928835171
297,2.97,-3.8347547613150708
298,2.98,-3.831212240845506
299,2.99,-3.8277595042855226
