,times,Mean Divergence
0,0.0,-2.7364377872730894
1,0.01,-2.714785816737111
2,0.02,-2.6862321743768405
3,0.03,-2.6634967142151287
4,0.04,-2.6483866810032954
5,0.05,-2.635869104151479
6,0.06,-2.631238485879937
7,0.07,-2.634113863953007
8,0.08,-2.6425595441439804
9,0.09,-2.6586095866600084
10,0.1,-2.6814680179555697
11,0.11,-2.6999411352725704
12,0.12,-2.6802036539900183
13,0.13,-2.6550723855507496
14,0.14,-2.633443195271692
15,0.15,-2.618314513320329
16,0.16,-2.6046804815784874
17,0.17,-2.599563981532887
18,0.18,-2.60136749447021
19,0.19,-2.608727134961271
20,0.2,-2.622198335426994
21,0.21,-2.6408056676323644
22,0.22,-2.6556599794538855
23,0.23,-2.6375821000251185
24,0.24,-2.6159872236977892
25,0.25,-2.5952765484814337
26,0.26,-2.5799780131862264
27,0.27,-2.566669193548501
28,0.28,-2.5612529466611136
29,0.29,-2.5625672218888016
30,0.3,-2.569416725824993
31,0.31,-2.5808484285480393
32,0.32,-2.596358521614904
33,0.33,-2.608866199305755
34,0.34,-2.593643178489876
35,0.35000000000000003,-2.575717851617343
36,0.36,-2.5569177096102127
37,0.37,-2.5431872816651855
38,0.38,-2.531715569365252
39,0.39,-2.5270471984977236
40,0.4,-2.5283134248963384
41,0.41000000000000003,-2.534976770369229
42,0.42,-2.5445334374101347
43,0.43,-2.556746912886534
44,0.44,-2.5665612466417764
45,0.45,-2.5536279705910356
46,0.46,-2.5375633038878
47,0.47000000000000003,-2.5198734575937323
48,0.48,-2.506823597885466
49,0.49,-2.4966220523639744
50,0.5,-2.491691176146003
51,0.51,-2.4927151402657017
52,0.52,-2.498993041640727
53,0.53,-2.5072986556193686
54,0.54,-2.5167290137193112
55,0.55,-2.523652588640723
56,0.56,-2.5127666251412504
57,0.5700000000000001,-2.4991623218043584
58,0.58,-2.4841800347239626
59,0.59,-2.473164492001469
60,0.6,-2.463760516190687
61,0.61,-2.459490342953179
62,0.62,-2.460861785905806
63,0.63,-2.467279771681769
64,0.64,-2.4763079368645875
65,0.65,-2.4858689034431376
66,0.66,-2.492297752892831
67,0.67,-2.4829318052602223
68,0.68,-2.470330667193715
69,0.6900000000000001,-2.4560266659190835
70,0.7000000000000001,-2.4452950342356514
71,0.71,-2.4355163126935153
72,0.72,-2.4312529437641066
73,0.73,-2.4318200106790013
74,0.74,-2.4374662917812158
75,0.75,-2.446343587834975
76,0.76,-2.4561714774739505
77,0.77,-2.462717570322487
78,0.78,-2.455748556295334
79,0.79,-2.4452846203111256
80,0.8,-2.432018112226217
81,0.81,-2.4215906664463045
82,0.8200000000000001,-2.412066869334545
83,0.8300000000000001,-2.407319629845492
84,0.84,-2.407093922104662
85,0.85,-2.4121231141484176
86,0.86,-2.420405862850845
87,0.87,-2.429204675828857
88,0.88,-2.434188807392197
89,0.89,-2.4278794871195846
90,0.9,-2.418396796819597
91,0.91,-2.4062703202736704
92,0.92,-2.396567744859261
93,0.93,-2.3872971401025964
94,0.9400000000000001,-2.3829352941862005
95,0.9500000000000001,-2.3828009754847916
96,0.96,-2.38738256488401
97,0.97,-2.3943514470201035
98,0.98,-2.4015948667197073
99,0.99,-2.4053352759803235
100,1.0,-2.3995295196033357
101,1.01,-2.391498896493879
102,1.02,-2.381324434473045
103,1.03,-2.372201660108625
104,1.04,-2.3630091386021213
105,1.05,-2.358888925775074
106,1.06,-2.359159868410362
107,1.07,-2.3625662870682325
108,1.08,-2.367427972690347
109,1.09,-2.372803843354957
110,1.1,-2.3752181210657612
111,1.11,-2.3700652800044217
