,lyapunov_exponent
0.8,-2.7827225402037636
0.81,-2.776931172335115
0.8200000000000001,-2.769153717288257
0.8300000000000001,-2.764922727493739
0.84,-2.7566106550675586
0.85,-2.748941885484826
0.86,-2.7429890450169756
0.87,-2.7379110921330043
0.88,-2.737162101466836
0.89,-2.72940301021415
0.9,-2.719172722774143
0.91,-2.7113341909294584
0.92,-2.705556735366091
0.93,-2.697904751108684
0.9400000000000001,-2.693518392515074
0.9500000000000001,-2.6852046500929587
0.96,-2.676840086546472
0.97,-2.670962733139676
0.98,-2.6656749197850798
0.99,-2.663185859629987
1.0,-2.656844797274776
1.01,-2.6471545197377533
1.02,-2.639421143556201
1.03,-2.633544993112835
1.04,-2.6263111541938513
1.05,-2.6224284838795837
1.06,-2.6146234662735286
1.07,-2.606139755816798
1.08,-2.60056225001271
1.09,-2.5954647710144907
1.1,-2.592346491571028
1.11,-2.5875282018002395
1.12,-2.5785400530349665
1.1300000000000001,-2.570848773508202
1.1400000000000001,-2.5647721664473733
1.1500000000000001,-2.557816070260456
1.16,-2.5538247861209675
1.17,-2.5460251363732525
1.18,-2.536925175791153
1.19,-2.5308494790601883
1.2,-2.5250875601624103
1.21,-2.5202889030580975
1.22,-2.515739621361628
1.23,-2.5064958978747134
1.24,-2.4978702744869437
1.25,-2.4907668386031387
1.26,-2.4836903173941693
1.27,-2.4790738126780103
1.28,-2.4717920290015325
1.29,-2.4631039387212597
1.3,-2.4575203323307155
1.31,-2.451689187988943
1.32,-2.447297738314908
1.33,-2.4445621060849327
1.34,-2.4365349720029723
1.35,-2.42882822428795
1.36,-2.422371610587362
1.37,-2.4163067516632997
1.3800000000000001,-2.4122700509042097
1.3900000000000001,-2.40485634830062
1.4000000000000001,-2.3956261041271176
1.41,-2.3899589734681346
1.42,-2.3837043273875813
1.43,-2.378621721035446
1.44,-2.375527797099312
1.45,-2.3673301508595874
1.46,-2.359005228240661
1.47,-2.35214273374102
1.48,-2.3457701354045644
1.49,-2.341610029952957
