,lyapunov_exponent
100,0.5483660264712922
100,0.02797502278241982
100,0.032343355152595135
140,0.5662716377851116
140,0.7097912632824548
140,0.26403330300361033
140,-0.18286151168522038
180,0.20560174870051032
220,0.30905458598229774
220,
220,0.28172179574085543
220,0.28669685792411453
260,0.3077643300533165
260,0.23359983901406267
260,0.23157921636685844
260,0.3217348114325743
300,0.186478775547394
320,0.2949967035144561
320,0.4013049149586725
320,
330,0.15596966010864596
350,-0.04738628970430864
350,0.1828486270724081
350,0.2672716973468466
350,0.233484621182855
370,0.45667151821928587
370,0.1689237778021967
370,0.33786090102191996
