,lyapunov_exponent
0.8,-5.2579235466320835
0.81,-5.255594738800072
0.8200000000000001,-5.253228019966701
0.8300000000000001,-5.25089023157779
0.84,-5.248636765459554
0.85,-5.246528355033548
0.86,-5.244434840675713
0.87,-5.2422816397207015
0.88,-5.240091641709451
0.89,-5.237687340187069
0.9,-5.235174134802929
0.91,-5.232557422649971
0.92,-5.229916098850923
0.93,-5.227234743206014
0.9400000000000001,-5.224568823300572
0.9500000000000001,-5.2219838273924255
0.96,-5.219530866474838
0.97,-5.217054121654876
0.98,-5.214497337717443
0.99,-5.211875281739546
1.0,-5.2090568403296205
1.01,-5.206104885425994
1.02,-5.203025368490048
1.03,-5.199891241107734
1.04,-5.196685194246613
1.05,-5.19347030144441
1.06,-5.190328101475098
1.07,-5.187269096016247
1.08,-5.184192509428903
1.09,-5.1810186896702
1.1,-5.177782261824756
1.11,-5.174402693166772
1.12,-5.170909957295483
1.1300000000000001,-5.16733189963638
1.1400000000000001,-5.1636961044172125
1.1500000000000001,-5.160035811035806
1.16,-5.1563936826763825
1.17,-5.152819639099285
1.18,-5.149349464394543
1.19,-5.145944968655978
1.2,-5.1424967234247685
1.21,-5.138996798715467
1.22,-5.135388619381218
1.23,-5.13173932511727
1.24,-5.128013190813087
1.25,-5.124237365422854
1.26,-5.120474046694535
1.27,-5.116760625588885
1.28,-5.113117459975579
1.29,-5.1095857628653425
1.3,-5.106149357356776
1.31,-5.102666249600578
1.32,-5.099148179558483
1.33,-5.095525045218774
1.34,-5.091862190108207
1.35,-5.088134519072478
1.36,-5.08438732688662
1.37,-5.080705228595979
1.3800000000000001,-5.077117911970476
1.3900000000000001,-5.073593108218996
1.4000000000000001,-5.070208872470926
1.41,-5.066940478615476
1.42,-5.063619114056916
1.43,-5.060270067445884
1.44,-5.056826059880437
1.45,-5.053343706036974
1.46,-5.049809076310401
1.47,-5.046245580252775
1.48,-5.042724750743236
1.49,-5.039253249537654
