,mean divergence
100,-0.0024815014771282285
100,-0.0020141673751975626
100,-0.0015300231852172022
140,-0.002231031657117192
140,-0.0033373499294952922
180,-0.0023311737379490068
180,-0.002000796686203638
220,-0.004312903374031854
220,-0.009185839696287085
260,-0.002057516513465675
260,-0.0026838192567805747
260,0.0014052828259120086
300,-0.002957229829020509
300,-0.002178366643911087
300,-0.00213764929285165
350,-0.0038991217206862613
350,-0.004060855643730551
370,-0.0020751410182695902
370,0.010427999734802742
400,-0.002232132032561207
400,-0.03221080011243134
500,-0.006042525333426823
600,-0.001955338883746869
700,0.007350159687104726
800,-0.002311031717583942
1000,-0.007554423490276272
1040,-0.005272406670251066
1120,-0.006725166897818712
1160,-0.002537368512543268
1200,-0.019611498061366573
1440,-0.010376672409389092
1600,-0.007049468719923192
1800,-0.004757637003344894
2000,-0.004354445224179652
