,lyapunov_exponent
0.8,-4.612258014272068
0.81,-4.604825293854332
0.8200000000000001,-4.597924896980109
0.8300000000000001,-4.591756307892289
0.84,-4.585983232061357
0.85,-4.581059479513072
0.86,-4.576545571230117
0.87,-4.571814931587619
0.88,-4.5664461608558
0.89,-4.559793442457497
0.9,-4.552452674446481
0.91,-4.54500545964309
0.92,-4.537988214422753
0.93,-4.531479410311696
0.9400000000000001,-4.52564189269729
0.9500000000000001,-4.520127251653928
0.96,-4.51507506240237
0.97,-4.510444352288526
0.98,-4.5056149506909335
0.99,-4.500250633785464
1.0,-4.493804397297665
1.01,-4.486863963437781
1.02,-4.479895718121301
1.03,-4.473308790283947
1.04,-4.467200038638509
1.05,-4.461762747403676
1.06,-4.456637014491859
1.07,-4.451898325071255
1.08,-4.447515251281325
1.09,-4.442944553470982
1.1,-4.437897852840124
1.11,-4.431933647250285
1.12,-4.425514471999796
1.1300000000000001,-4.419097864899388
1.1400000000000001,-4.412996570520158
1.1500000000000001,-4.407406014371112
1.16,-4.40250883956969
1.17,-4.397971658684788
1.18,-4.3936812172866295
1.19,-4.389531149803968
1.2,-4.385163148653818
1.21,-4.380397865619445
1.22,-4.374792964277882
1.23,-4.368829686178412
1.24,-4.3629037965236535
1.25,-4.357313886798627
1.26,-4.352223093382363
1.27,-4.347746814046078
1.28,-4.343531720346904
1.29,-4.339441446131436
1.3,-4.335294805250642
1.31,-4.33088762541919
1.32,-4.32607151010559
1.33,-4.320563525203432
1.34,-4.314816465017443
1.35,-4.309138419450953
1.36,-4.303782462787621
1.37,-4.29891696473757
1.3800000000000001,-4.294650383153167
1.3900000000000001,-4.290557423020668
1.4000000000000001,-4.286400490169058
1.41,-4.282112197548023
1.42,-4.277539100113088
1.43,-4.272630542952318
1.44,-4.267089680090368
1.45,-4.261353109891788
1.46,-4.255701964345188
1.47,-4.250394928600088
1.48,-4.245535768787511
1.49,-4.241221360287076
