,frequency,exponent
0,100,0.13790869
1,140,0.061461157
2,140,0.059436509
3,180,0.185723
4,180,0.444124508
5,220,0.10300549
6,260,0.282593936
7,260,0.206374222
8,260,0.276766184
9,300,0.143596723
10,300,0.119470535
11,300,0.107202948
12,350,0.032031924
13,370,0.31387641
14,370,0.169508912
15,400,0.187178893
16,400,0.132350187
17,500,0.184078225
18,600,0.700101547
19,700,0.37903124
20,800,0.160789401
21,1000,0.385837958
22,1040,0.572597172
23,1120,0.427053226
24,1160,0.245718869
25,1200,0.570686097
26,1440,0.342553448
27,1600,0.31308865
28,1800,0.304763328
29,2000,0.568872176
