,lyapunov_exponent
0.8,-5.409142980765937
0.81,-5.388127492467967
0.8200000000000001,-5.379110586630638
0.8300000000000001,-5.370713912251436
0.84,-5.381060184737002
0.85,-5.391322833734704
0.86,-5.403371993885544
0.87,-5.421482022033958
0.88,-5.4436200845472085
0.89,-5.399684644394758
0.9,-5.378667351285744
0.91,-5.355581428677825
0.92,-5.336799332015855
0.93,-5.329178811158201
0.9400000000000001,-5.319945556804656
0.9500000000000001,-5.330035958672009
0.96,-5.339454905708871
0.97,-5.349626147007619
0.98,-5.364752238866592
0.99,-5.383202154493651
1.0,-5.343252808883196
1.01,-5.3248547692276675
1.02,-5.302285860370688
1.03,-5.284961587450814
1.04,-5.277621751649401
1.05,-5.2680773435975174
1.06,-5.276470943312208
1.07,-5.285281972074037
1.08,-5.293661977248198
1.09,-5.306859126068315
1.1,-5.322510273287582
1.11,-5.287137356942578
1.12,-5.270724706131796
1.1300000000000001,-5.249435875674852
1.1400000000000001,-5.233380752543847
1.1500000000000001,-5.226053289041153
1.16,-5.216957593459012
1.17,-5.223782449822077
1.18,-5.231027549874599
1.19,-5.237791305110535
1.2,-5.248968875146834
1.21,-5.261585408760424
1.22,-5.2303922093414625
1.23,-5.214240385643237
1.24,-5.193643420215181
1.25,-5.177887821017181
1.26,-5.170663502972166
1.27,-5.1624189840293555
1.28,-5.167308366058438
1.29,-5.173060473293218
1.3,-5.178151778098216
1.31,-5.188284265024784
1.32,-5.198701264304369
1.33,-5.172878159328767
1.34,-5.158104620584667
1.35,-5.137125176220442
1.36,-5.121958678022735
1.37,-5.11567034404181
1.3800000000000001,-5.108645003225667
1.3900000000000001,-5.11175166205647
1.4000000000000001,-5.115910620481523
1.41,-5.119231957903575
1.42,-5.1280908631022495
1.43,-5.137515747901611
1.44,-5.116335523809117
1.45,-5.103754652389495
1.46,-5.084386377619395
1.47,-5.0696131244473115
1.48,-5.063583147134558
1.49,-5.054391853035576
