,lyapunov_exponent
10,0.1957204022523548
10,0.36493823322785707
10,0.4042463551047567
20,0.38330077233524074
20,0.06517021249764673
20,3.6388095821523206e-07
30,1.3001137376618523e-06
40,0.4067178583176915
40,0.2663765689799948
40,0.5285093129473954
60,0.4766051295962963
60,0.327922908080685
60,0.14708471955576258
80,0.42503423032271787
80,0.31695848970380575
80,0.3958959525676531
100,0.5919378257939736
100,0.10911761824957024
140,0.4773156175335313
140,0.8186580534961826
140,0.1587205965323526
180,0.3074931538954518
180,0.5504610173717864
180,0.30350892406865093
220,0.31394241723903454
220,0.4158561192311165
260,0.3410908570164985
260,0.38625222558708805
260,0.38842357233800284
320,0.32415360745296146
320,0.38729010385633805
320,0.3022039649369476
350,0.4988183531937336
350,0.49159152691349295
350,0.2659822400685289
370,0.28414918318606497
370,0.30129039307189087
370,0.3383997313936584
400,0.28435683978381865
400,0.4091347841486931
400,0.2891723165477965
440,0.48252162000512816
440,0.3875496711036217
