,lyapunov_exponent
0.8,-3.8519949972096375
0.81,-3.8392376716028327
0.8200000000000001,-3.8304764521415247
0.8300000000000001,-3.8262620265861575
0.84,-3.826962212264984
0.85,-3.8315051681499632
0.86,-3.8377318509595337
0.87,-3.841961125043391
0.88,-3.841226408664771
0.89,-3.8343457194383346
0.9,-3.823138463417733
0.91,-3.810813257968294
0.92,-3.800035274369375
0.93,-3.7923790467522362
0.9400000000000001,-3.788102255485482
0.9500000000000001,-3.7874898686742413
0.96,-3.789667012312047
0.97,-3.7931557111873273
0.98,-3.7952724855258455
0.99,-3.793974004133881
1.0,-3.7883331804115294
1.01,-3.7796483336463433
1.02,-3.7702262539269156
1.03,-3.7618655192301946
1.04,-3.7557567880505185
1.05,-3.752072432737371
1.06,-3.751147652448395
1.07,-3.7522717493393483
1.08,-3.75440997670305
1.09,-3.755415408102184
1.1,-3.753729491832402
1.11,-3.7486006195065253
1.12,-3.741050931703496
1.1300000000000001,-3.732955853435246
1.1400000000000001,-3.72573152979285
1.1500000000000001,-3.7202777988844575
1.16,-3.7166744347838643
1.17,-3.7152720531361036
1.18,-3.7154535415632437
1.19,-3.7164345123991978
1.2,-3.7165059134265963
1.21,-3.7144320270678195
1.22,-3.7096714554124164
1.23,-3.7031073875737253
1.24,-3.6962140941620185
1.25,-3.690069828090159
1.26,-3.6852091222768557
1.27,-3.681605798314032
1.28,-3.6796394732335687
1.29,-3.678986912272962
1.3,-3.679230280945048
1.31,-3.6789862134057763
1.32,-3.6772655649888746
1.33,-3.6736122266727884
1.34,-3.668646493221314
1.35,-3.663387468039419
1.36,-3.6585029499230495
1.37,-3.654358770825309
1.3800000000000001,-3.6509359756476716
1.3900000000000001,-3.6486192487865154
1.4000000000000001,-3.6472227446362844
1.41,-3.646734523349744
1.42,-3.64615043260061
1.43,-3.644696436781921
1.44,-3.6420362082655506
1.45,-3.638559594980046
1.46,-3.634865333378205
1.47,-3.6312095532239224
1.48,-3.6278806249475433
1.49,-3.6248192209396604
