,lyapunov_exponent
20,0.33557449749816654
20,0.31130469682291606
40,0.2088298399705278
40,0.10398522311513193
40,0.1468563142367016
60,0.19370863847286984
60,0.5802102691942993
60,0.028884369885845525
80,0.3301294651266102
80,0.35012192111079543
80,0.18263773670462174
100,0.20514215901832641
100,0.07610806558670236
100,0.20514215901832641
140,0.32057182355147323
140,0.3264272390498891
140,0.27003272900827746
180,0.2976206471558782
180,0.25139835265146687
180,0.2998507342757826
220,0.4246756047043318
220,0.3367309249722909
220,0.15472649431411306
260,0.6465662125684999
260,0.21448890311120572
260,0.3271313971659215
300,0.19910632032839196
300,0.27968517350001354
300,0.2974092749295794
350,0.08222091113780519
350,0.3472223697341616
350,0.36522285055423953
370,0.5327955730070859
370,0.33455294615934933
370,0.42746689966277296
400,0.37945868689761997
400,0.35564708078482116
400,0.6435548550504057
