,lyapunov_exponent
0.8,-4.16882532131157
0.81,-4.160076220953033
0.8200000000000001,-4.150127476522339
0.8300000000000001,-4.141086819465515
0.84,-4.133273006132703
0.85,-4.127582006468319
0.86,-4.121240769483547
0.87,-4.115782082441066
0.88,-4.110056807296089
0.89,-4.103105753156554
0.9,-4.096196151904269
0.91,-4.0878181903013475
0.92,-4.079943355092226
0.93,-4.070677580549101
0.9400000000000001,-4.062194635053742
0.9500000000000001,-4.054570707114484
0.96,-4.047441867255962
0.97,-4.040858818857246
0.98,-4.035799368436156
0.99,-4.030893586115029
1.0,-4.02506036662024
1.01,-4.018946983020621
1.02,-4.0119327237338895
1.03,-4.0044214980169235
1.04,-3.9960616922320087
1.05,-3.988188954883807
1.06,-3.9809535176450357
1.07,-3.9740292690966377
1.08,-3.9678449695572584
1.09,-3.9628039972745537
1.1,-3.957816992573428
1.11,-3.952365423909544
1.12,-3.946447708102723
1.1300000000000001,-3.939746835121858
1.1400000000000001,-3.9325470515846175
1.1500000000000001,-3.9245371423611264
1.16,-3.916804470422494
1.17,-3.9096077102785425
1.18,-3.902540224789147
1.19,-3.8962598584408186
1.2,-3.8906513912756333
1.21,-3.8850082671947543
1.22,-3.8792133418728554
1.23,-3.872829204471146
1.24,-3.8659687672023866
1.25,-3.8586655316088487
1.26,-3.8508028646799013
1.27,-3.8428843505250168
1.28,-3.8364008801944967
1.29,-3.83002126948711
1.3,-3.82421576800556
1.31,-3.8191277714957206
1.32,-3.8140324606612324
1.33,-3.808959975909958
1.34,-3.8032945509958713
1.35,-3.797329576730389
1.36,-3.790981262972122
1.37,-3.784081159032888
1.3800000000000001,-3.777123092426815
1.3900000000000001,-3.770288139097683
1.4000000000000001,-3.7634809408530403
1.41,-3.7571231680837713
1.42,-3.7514057383729096
1.43,-3.745789219369921
1.44,-3.740351542547305
1.45,-3.734480100848083
1.46,-3.7281911412498987
1.47,-3.721771079417045
1.48,-3.714979555061151
1.49,-3.7084499857893887
