,lyapunov_exponent
0.8,-5.617557871814476
0.81,-5.610852023523663
0.8200000000000001,-5.607499432519627
0.8300000000000001,-5.607131143458931
0.84,-5.6075009000437195
0.85,-5.6078176772340615
0.86,-5.607391918645179
0.87,-5.6056926287801545
0.88,-5.601322928601211
0.89,-5.5931108132517355
0.9,-5.583323857696575
0.91,-5.573573371009336
0.92,-5.566787153090269
0.93,-5.563228050425309
0.9400000000000001,-5.562527357306715
0.9500000000000001,-5.5626089184180865
0.96,-5.562652572761973
0.97,-5.561826225326513
0.98,-5.559637601567612
0.99,-5.554770410486625
1.0,-5.54614754373642
1.01,-5.536061546647917
1.02,-5.525978400046707
1.03,-5.518836205493787
1.04,-5.51483808475658
1.05,-5.513553721387928
1.06,-5.512850109628551
1.07,-5.512229731525027
1.08,-5.51047936127873
1.09,-5.50741561037884
1.1,-5.501641049994538
1.11,-5.4925071599511
1.12,-5.482071392474053
1.1300000000000001,-5.471997916193077
1.1400000000000001,-5.464885433481786
1.1500000000000001,-5.460659750720131
1.16,-5.459041537527119
1.17,-5.457989621428762
1.18,-5.456934540961987
1.19,-5.454558134187951
1.2,-5.45123206326318
1.21,-5.445271423260716
1.22,-5.436378609951436
1.23,-5.426189976823074
1.24,-5.416631704436418
1.25,-5.410022096724923
1.26,-5.406152410181669
1.27,-5.404554610535742
1.28,-5.403357958049812
1.29,-5.402114688175669
1.3,-5.399534155574351
1.31,-5.396041650452158
1.32,-5.38993980640248
1.33,-5.381266250965268
1.34,-5.371343545838295
1.35,-5.36214352950296
1.36,-5.35602248720547
1.37,-5.352542163544248
1.3800000000000001,-5.351073928597636
1.3900000000000001,-5.349811034025621
1.4000000000000001,-5.3483560766222284
1.41,-5.345633209185896
1.42,-5.342035365868857
1.43,-5.335859358579742
1.44,-5.327408349666999
1.45,-5.317911032659094
1.46,-5.309224108466965
1.47,-5.303798622687164
1.48,-5.301026080649371
1.49,-5.299959809634556
