,lyapunov_exponent
0.8,-5.152705921807343
0.81,-5.148442127395915
0.8200000000000001,-5.145059255820758
0.8300000000000001,-5.142856610355648
0.84,-5.141677499527428
0.85,-5.141659149204806
0.86,-5.142080553375833
0.87,-5.142039764749976
0.88,-5.141083766321497
0.89,-5.138211521652899
0.9,-5.134349146874694
0.91,-5.129898509924359
0.92,-5.1254569429770545
0.93,-5.121718506349818
0.9400000000000001,-5.118987899948414
0.9500000000000001,-5.117033643913715
0.96,-5.116203136486573
0.97,-5.116043493156568
0.98,-5.115681926225913
0.99,-5.114893987142187
1.0,-5.112833738866949
1.01,-5.110113568171462
1.02,-5.106914241006544
1.03,-5.10379242563221
1.04,-5.101048330186509
1.05,-5.099014268860517
1.06,-5.097293087097707
1.07,-5.0963906258799065
1.08,-5.09609434869046
1.09,-5.095719399458658
1.1,-5.095129613827622
1.11,-5.093651843952149
1.12,-5.091805582530771
1.1300000000000001,-5.0894913399446375
1.1400000000000001,-5.087188962771455
1.1500000000000001,-5.085005962385585
1.16,-5.083241911782902
1.17,-5.081484237466669
1.18,-5.080452139431377
1.19,-5.080135943007986
1.2,-5.079798167975596
1.21,-5.079404922597339
1.22,-5.078301278383628
1.23,-5.076834446543296
1.24,-5.074865887088253
1.25,-5.072814824952751
1.26,-5.070769513275884
1.27,-5.069047330224199
1.28,-5.0672479754172075
1.29,-5.066111485580641
1.3,-5.065600446467022
1.31,-5.065214183498322
1.32,-5.0648443950960305
1.33,-5.063880081785926
1.34,-5.062556737863959
1.35,-5.060763065422325
1.36,-5.0589565833933925
1.37,-5.057246366741282
1.3800000000000001,-5.0558463877371835
1.3900000000000001,-5.054121065306824
1.4000000000000001,-5.052894435170674
1.41,-5.052205114904464
1.42,-5.0516184768678976
1.43,-5.0511587778799
1.44,-5.050259900446963
1.45,-5.048978435454356
1.46,-5.047350845267147
1.47,-5.045776097426761
1.48,-5.044432964292331
1.49,-5.043489906242253
