,times,average_divergence
0,0.0,1.75173201318057
1,0.01,1.7523264974717414
2,0.02,1.754127927224986
3,0.03,1.756937162576859
4,0.04,1.7605173646364303
5,0.05,1.7646577774651293
6,0.06,1.7692017946485865
7,0.07,1.774056618397074
8,0.08,1.7791958569387183
9,0.09,1.7846497564349528
10,0.1,1.7904742603311676
11,0.11,1.7967145458376084
12,0.12,1.8033659409993494
13,0.13,1.8103605711649386
14,0.14,1.8175801238663547
15,0.15,1.8248829194476819
16,0.16,1.8321467341414466
17,0.17,1.8392946250967115
18,0.18,1.8463101335533265
19,0.19,1.853232321497969
20,0.2,1.860146709763551
21,0.21,1.8671589432948703
22,0.22,1.874357148227442
23,0.23,1.8817791219522662
24,0.24,1.8893981973436318
25,0.25,1.8971341894724592
26,0.26,1.9048823608611438
27,0.27,1.9125483282947497
28,0.28,1.9200760995757453
29,0.29,1.9274610688545342
30,0.3,1.9347482959010425
31,0.31,1.9420183433588878
32,0.32,1.949370302248403
33,0.33,1.9568860808675397
34,0.34,1.9645998299248846
35,0.35000000000000003,1.9724844144501932
36,0.36,1.9804628475838444
37,0.37,1.9884353483653752
38,0.38,1.9963123964119764
39,0.39,2.004037517459627
40,0.4,2.011598715892354
41,0.41000000000000003,2.019028840769081
42,0.42,2.0263955184816833
43,0.43,2.0337828551050805
44,0.44,2.0412629179119333
45,0.45,2.0488674462009313
46,0.46,2.0565748320382733
47,0.47000000000000003,2.0643203095280858
48,0.48,2.0720200663895656
49,0.49,2.079597959273818
50,0.5,2.0870096026048355
51,0.51,2.0942503872930978
52,0.52,2.1013564896512964
53,0.53,2.1083935091762323
54,0.54,2.115442163875044
55,0.55,2.1225683576092296
56,0.56,2.129807921976266
57,0.5700000000000001,2.137142535093585
58,0.58,2.1445240182629335
59,0.59,2.15188505136195
60,0.6,2.1591623541053377
61,0.61,2.1663230425311775
62,0.62,2.1733679677906994
63,0.63,2.1803270407532946
64,0.64,2.187262870674869
65,0.65,2.194250111822525
66,0.66,2.2013510534061327
67,0.67,2.2085996798401575
68,0.68,2.2159829277230383
69,0.6900000000000001,2.2234560056932438
70,0.7000000000000001,2.230955402849844
71,0.71,2.2384239859193955
72,0.72,2.2458273489704577
73,0.73,2.253156287086419
74,0.74,2.2604303231230256
75,0.75,2.2676920139554673
76,0.76,2.2749946835143837
77,0.77,2.2823861888397254
78,0.78,2.2898886320456846
79,0.79,2.2974872712204726
80,0.8,2.305137765259309
81,0.81,2.312784857310158
82,0.8200000000000001,2.320378347794035
83,0.8300000000000001,2.3278895182230444
84,0.84,2.3353119964437514
85,0.85,2.3426632077905274
86,0.86,2.3499804555574575
87,0.87,2.3573140526487273
88,0.88,2.3647104629976816
89,0.89,2.372192679743802
90,0.9,2.3797519891668713
91,0.91,2.387353754994378
92,0.92,2.39495404312681
93,0.93,2.40251112332549
94,0.9400000000000001,2.4100007911721564
95,0.9500000000000001,2.4174190959911463
96,0.96,2.4247831828241093
97,0.97,2.432124244662216
98,0.98,2.439482167345435
99,0.99,2.446892922168465
100,1.0,2.4543762403258986
101,1.01,2.461920643962024
102,1.02,2.469493447965084
103,1.03,2.47704996514805
104,1.04,2.484549815586971
105,1.05,2.491971071653603
106,1.06,2.4993040857548086
107,1.07,2.5065559507774777
108,1.08,2.513755198321454
109,1.09,2.520932284741075
110,1.1,2.528117911428885
111,1.11,2.5353297470431113
112,1.12,2.542562561566228
113,1.1300000000000001,2.5497926370166923
114,1.1400000000000001,2.5569868770097313
115,1.1500000000000001,2.564120764982336
116,1.16,2.5711845335095833
117,1.17,2.5781740265034734
118,1.18,2.5851026851196415
119,1.19,2.59199539779016
120,1.2,2.598879848972826
121,1.21,2.6057829388366565
122,1.22,2.6127203451347705
123,1.23,2.6196924721146773
124,1.24,2.6266792570301427
125,1.25,2.633652919588676
126,1.26,2.6405926905460375
127,1.27,2.647488095182855
128,1.28,2.654336770865403
129,1.29,2.661151848260556
130,1.3,2.6679503563118474
131,1.31,2.6747576451908692
132,1.32,2.6815970665706113
133,1.33,2.6884807758315175
134,1.34,2.6954110465954644
135,1.35,2.702368501923841
136,1.36,2.7093315646628313
137,1.37,2.7162810239287047
138,1.3800000000000001,2.723203429022866
139,1.3900000000000001,2.730097305952383
140,1.4000000000000001,2.736968942578019
141,1.41,2.74383333101881
142,1.42,2.750706556854604
143,1.43,2.757606717892599
144,1.44,2.764543963198625
145,1.45,2.7715165664599013
146,1.46,2.7785116362295
147,1.47,2.785509557559711
148,1.48,2.792494288283995
149,1.49,2.7994530998190625
150,1.5,2.8063797161901447
151,1.51,2.81327656163391
152,1.52,2.8201518125602267
153,1.53,2.827019350610293
154,1.54,2.8338903130855937
155,1.55,2.8407733215475015
156,1.56,2.8476660699036542
157,1.57,2.854560717484004
158,1.58,2.8614424482167444
159,1.59,2.868299230713055
160,1.6,2.875122993673394
161,1.61,2.8819110063586106
162,1.62,2.8886660301801292
163,1.6300000000000001,2.8953940151430095
164,1.6400000000000001,2.9021030350414536
165,1.6500000000000001,2.908804176013612
166,1.6600000000000001,2.9155005978119117
167,1.67,2.9221913077990003
168,1.68,2.9288718685131054
169,1.69,2.935531550294915
170,1.7,2.9421606964024747
171,1.71,2.948754977493731
172,1.72,2.955309342588766
173,1.73,2.9618238192776456
174,1.74,2.9683017399509866
175,1.75,2.9747483527311465
176,1.76,2.981169458122699
177,1.77,2.9875694086461038
178,1.78,2.993945411704855
179,1.79,3.0002951801482807
180,1.8,3.006609630882927
181,1.81,3.012882872996307
182,1.82,3.019109667495665
183,1.83,3.0252888284560417
184,1.84,3.031421548497869
185,1.85,3.0375118607379448
186,1.86,3.043564505023437
187,1.87,3.0495858078894047
188,1.8800000000000001,3.0555818015746086
189,1.8900000000000001,3.0615561525497013
190,1.9000000000000001,3.0675073084335196
191,1.9100000000000001,3.073430418402794
192,1.92,3.0793186313646452
193,1.93,3.085167825244864
194,1.94,3.090967749492197
195,1.95,3.096718651511821
196,1.96,3.1024112646276403
197,1.97,3.1080502170610473
198,1.98,3.113636844201263
199,1.99,3.1191729041352776
200,2.0,3.1246548779344825
201,2.0100000000000002,3.13009644956967
202,2.02,3.1354992563432353
203,2.0300000000000002,3.14085514372132
204,2.04,3.146159067394103
205,2.05,3.151410252845694
206,2.06,3.156608425384237
207,2.07,3.161743099533646
208,2.08,3.1668176174613003
209,2.09,3.1718313062386874
210,2.1,3.1767929275621705
211,2.11,3.1817081511503256
212,2.12,3.1865828358827564
213,2.13,3.191421378231898
214,2.14,3.196227468326589
215,2.15,3.2010019965238277
216,2.16,3.2057467698710167
217,2.17,3.2104613663741444
218,2.18,3.215146414902521
219,2.19,3.2198045773594566
220,2.2,3.2244368518073947
221,2.21,3.22904451982182
222,2.22,3.2336282200111732
223,2.23,3.238188008371354
224,2.24,3.242726871804757
225,2.25,3.2472457663918948
226,2.2600000000000002,3.2517425253017955
227,2.27,3.2562168278448915
228,2.2800000000000002,3.2606686112801833
229,2.29,3.2650987225292756
230,2.3000000000000003,3.2695076742858253
231,2.31,3.273895910297023
232,2.32,3.278264852658679
233,2.33,3.2826141980788397
234,2.34,3.2869448941798396
235,2.35,3.2912581217185104
